saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(68/1000), V={0, 0.2, -0.259159}: 10 iterations, reldev=0.223222, n_E = 7788
(69/1000), V={0, 0.2, -0.258559}: 10 iterations, reldev=0.223508, n_E = 7788
(70/1000), V={0, 0.2, -0.257958}: 10 iterations, reldev=0.22377, n_E = 7744
(71/1000), V={0, 0.2, -0.257357}: 10 iterations, reldev=0.22405, n_E = 7788
(72/1000), V={0, 0.2, -0.256757}: 10 iterations, reldev=0.224263, n_E = 7748
(73/1000), V={0, 0.2, -0.256156}: 10 iterations, reldev=0.224595, n_E = 7752
(74/1000), V={0, 0.2, -0.255556}: 10 iterations, reldev=0.224775, n_E = 7808
(75/1000), V={0, 0.2, -0.254955}: 10 iterations, reldev=0.225018, n_E = 7784
(76/1000), V={0, 0.2, -0.254354}: 10 iterations, reldev=0.225311, n_E = 7752
(77/1000), V={0, 0.2, -0.253754}: 10 iterations, reldev=0.225534, n_E = 7828
(78/1000), V={0, 0.2, -0.253153}: 10 iterations, reldev=0.225703, n_E = 7764
(79/1000), V={0, 0.2, -0.252553}: 10 iterations, reldev=0.225934, n_E = 7772
(80/1000), V={0, 0.2, -0.251952}: 10 iterations, reldev=0.226139, n_E = 7776
(81/1000), V={0, 0.2, -0.251351}: 10 iterations, reldev=0.226413, n_E = 7804
(82/1000), V={0, 0.2, -0.250751}: 10 iterations, reldev=0.226626, n_E = 7772
(83/1000), V={0, 0.2, -0.25015}: 10 iterations, reldev=0.22686, n_E = 7816
(84/1000), V={0, 0.2, -0.24955}: 10 iterations, reldev=0.227066, n_E = 7848
(85/1000), V={0, 0.2, -0.248949}: 10 iterations, reldev=0.227193, n_E = 7876
(86/1000), V={0, 0.2, -0.248348}: 10 iterations, reldev=0.227403, n_E = 7788
(87/1000), V={0, 0.2, -0.247748}: 10 iterations, reldev=0.227649, n_E = 7788
(88/1000), V={0, 0.2, -0.247147}: 10 iterations, reldev=0.227828, n_E = 7796
(89/1000), V={0, 0.2, -0.246547}: 10 iterations, reldev=0.228011, n_E = 7820
(90/1000), V={0, 0.2, -0.245946}: 10 iterations, reldev=0.228193, n_E = 7792
(91/1000), V={0, 0.2, -0.245345}: 10 iterations, reldev=0.228364, n_E = 7816
(92/1000), V={0, 0.2, -0.244745}: 10 iterations, reldev=0.228529, n_E = 7824
(93/1000), V={0, 0.2, -0.244144}: 10 iterations, reldev=0.228692, n_E = 7732
(94/1000), V={0, 0.2, -0.243544}: 10 iterations, reldev=0.228789, n_E = 7780
(95/1000), V={0, 0.2, -0.242943}: 10 iterations, reldev=0.228945, n_E = 7816
(96/1000), V={0, 0.2, -0.242342}: 10 iterations, reldev=0.229095, n_E = 7800
(97/1000), V={0, 0.2, -0.241742}: 10 iterations, reldev=0.2293, n_E = 7748
(98/1000), V={0, 0.2, -0.241141}: 10 iterations, reldev=0.229809, n_E = 7828
(99/1000), V={0, 0.2, -0.240541}: 10 iterations, reldev=0.229661, n_E = 7752
(100/1000), V={0, 0.2, -0.23994}: 10 iterations, reldev=0.22985, n_E = 7788
(101/1000), V={0, 0.2, -0.239339}: 10 iterations, reldev=0.230011, n_E = 7828
(102/1000), V={0, 0.2, -0.238739}: 10 iterations, reldev=0.230187, n_E = 7828
(103/1000), V={0, 0.2, -0.238138}: 10 iterations, reldev=0.230336, n_E = 7800
(104/1000), V={0, 0.2, -0.237538}: 10 iterations, reldev=0.230519, n_E = 7804
(105/1000), V={0, 0.2, -0.236937}: 10 iterations, reldev=0.230659, n_E = 7816
(106/1000), V={0, 0.2, -0.236336}: 10 iterations, reldev=0.231062, n_E = 7776
(107/1000), V={0, 0.2, -0.235736}: 10 iterations, reldev=0.231145, n_E = 7864
(108/1000), V={0, 0.2, -0.235135}: 10 iterations, reldev=0.231054, n_E = 7808
(109/1000), V={0, 0.2, -0.234535}: 10 iterations, reldev=0.23119, n_E = 7808
(110/1000), V={0, 0.2, -0.233934}: 10 iterations, reldev=0.231381, n_E = 7816
(111/1000), V={0, 0.2, -0.233333}: 10 iterations, reldev=0.231439, n_E = 7736
(112/1000), V={0, 0.2, -0.232733}: 10 iterations, reldev=0.231649, n_E = 7756
(113/1000), V={0, 0.2, -0.232132}: 10 iterations, reldev=0.231768, n_E = 7792
(114/1000), V={0, 0.2, -0.231532}: 10 iterations, reldev=0.231854, n_E = 7792
(115/1000), V={0, 0.2, -0.230931}: 10 iterations, reldev=0.232171, n_E = 7828
(116/1000), V={0, 0.2, -0.23033}: 10 iterations, reldev=0.232038, n_E = 7844
